"","id_colaborador","nome","sexo_biologico","idade","cargo","nota_desempenho","remuneracao","horas_treinamento"
"41","COO000041","Lorenzo Mendes","Masculino",43,"Coordenador(a)","Excelente",17885.32,18
"42","COO000042","Erick Jesus","Masculino",34,"Coordenador(a)","Regular",15876.7,20
"43","COO000043","Matheus Novaes","Masculino",44,"Coordenador(a)","Excelente",17812.33,19
"44","COO000044","Larissa da Mota","Feminino",30,"Coordenador(a)","Regular",12834.55,22
"45","COO000045","Benício Machado","Masculino",30,"Coordenador(a)","Bom",15215.75,18
"46","COO000046","Maria Clara Melo","Feminino",30,"Coordenador(a)","Excelente",18340.05,16
"47","COO000047","Matheus Brito","Masculino",38,"Coordenador(a)","Regular",14670.15,26
"48","COO000048","Mateus Barbosa","Masculino",34,"Coordenador(a)","Excelente",19202.39,24
"49","COO000049","Dante Peixoto","Masculino",30,"Coordenador(a)","Excelente",19405.2,20
"50","COO000050","Kaique Novaes","Masculino",30,"Coordenador(a)","Bom",17336.44,13
"51","COO000051","Letícia Cirino","Feminino",30,"Coordenador(a)","Bom",12853.6,25
"52","COO000052","Ana Clara Macedo","Feminino",39,"Coordenador(a)","Regular",13757.11,16
"53","COO000053","Maria Sophia Albuquerque","Feminino",43,"Coordenador(a)","Regular",12774.8,16
"54","COO000054","Maria Laura Monteiro","Feminino",42,"Coordenador(a)","Regular",14620.95,27
"55","COO000055","Ana Carolina Pereira","Feminino",30,"Coordenador(a)","Bom",15213.57,19
"56","COO000056","Mirella Rios","Feminino",30,"Coordenador(a)","Regular",15290.39,22
"57","COO000057","Gael Teixeira","Masculino",42,"Coordenador(a)","Bom",17578.87,19
"58","COO000058","Otávio Rios","Masculino",43,"Coordenador(a)","Bom",14221.63,30
"59","COO000059","Caleb Barros","Masculino",41,"Coordenador(a)","Excelente",15882.41,19
"60","COO000060","Pietro Fonseca","Masculino",30,"Coordenador(a)","Excelente",16998.94,16
"61","COO000061","Erick Melo","Masculino",30,"Coordenador(a)","Regular",13616.22,17
"62","COO000062","Daniel Monteiro","Masculino",37,"Coordenador(a)","Bom",14031.26,19
"63","COO000063","Luara da Luz","Feminino",35,"Coordenador(a)","Bom",13902.29,21
"64","COO000064","Dante Vieira","Masculino",45,"Coordenador(a)","Bom",17714.96,19
"65","COO000065","Gael Henrique Silva","Masculino",38,"Coordenador(a)","Excelente",16884.15,19
"66","CON000066","Antony da Paz","Masculino",40,"Consultor(a) de vendas","Regular",9317.13,25
"67","CON000067","Luiz Felipe Sales","Masculino",38,"Consultor(a) de vendas","Regular",9423.72,30
"68","CON000068","Sophia Mendonça","Feminino",37,"Consultor(a) de vendas","Regular",9409.15,32
"69","CON000069","Rael Leão","Masculino",40,"Consultor(a) de vendas","Bom",9315.77,20
"70","CON000070","Helena Cavalcante","Feminino",31,"Consultor(a) de vendas","Bom",10223.2,11
"71","CON000071","Stephany Sales","Feminino",27,"Consultor(a) de vendas","Bom",9060.64,25
"72","CON000072","Vitor Hugo Ferreira","Masculino",38,"Consultor(a) de vendas","Bom",11409.71,20
"73","CON000073","Dante Pereira","Masculino",42,"Consultor(a) de vendas","Regular",10351.52,21
"74","CON000074","Maria Julia Andrade","Feminino",33,"Consultor(a) de vendas","Bom",8459.2,21
"75","CON000075","Amanda Abreu","Feminino",34,"Consultor(a) de vendas","Bom",10394.31,19
"76","CON000076","Lunna Rodrigues","Feminino",43,"Consultor(a) de vendas","Bom",10143.22,18
"77","CON000077","Bella da Cruz","Feminino",33,"Consultor(a) de vendas","Bom",10175.35,16
"78","CON000078","Rael Santos","Masculino",31,"Consultor(a) de vendas","Regular",10335.12,15
"79","CON000079","Leonardo Pereira","Masculino",46,"Consultor(a) de vendas","Regular",11077.64,21
"80","CON000080","Cauê Aparecida","Masculino",25,"Consultor(a) de vendas","Regular",10715.42,20
"81","CON000081","Catarina Porto","Feminino",25,"Consultor(a) de vendas","Regular",8646.19,16
"82","CON000082","Lavínia Cunha","Feminino",33,"Consultor(a) de vendas","Bom",9272.51,23
"83","CON000083","Pietro Farias","Masculino",42,"Consultor(a) de vendas","Regular",9711.69,19
"84","CON000084","Nicolas Pastor","Masculino",25,"Consultor(a) de vendas","Excelente",11858.48,26
"85","CON000085","Antony Nascimento","Masculino",33,"Consultor(a) de vendas","Regular",9474.13,16
"86","CON000086","Pedro Lucas Pereira","Masculino",31,"Consultor(a) de vendas","Regular",10983.52,15
"87","CON000087","Mariah Moura","Feminino",25,"Consultor(a) de vendas","Regular",10559.19,13
"88","CON000088","Juliana Correia","Feminino",39,"Consultor(a) de vendas","Excelente",10693.58,20
"89","CON000089","Clarice Silveira","Feminino",37,"Consultor(a) de vendas","Insuficiente",8155.77,21
"90","CON000090","Vitor Hugo Cunha","Masculino",37,"Consultor(a) de vendas","Regular",10692.65,25
"91","CON000091","Apollo da Mata","Masculino",32,"Consultor(a) de vendas","Regular",10647.87,18
"92","CON000092","Lorena Andrade","Feminino",25,"Consultor(a) de vendas","Excelente",9045.02,19
"93","CON000093","Bianca Ribeiro","Feminino",44,"Consultor(a) de vendas","Bom",9605.73,17
"94","CON000094","Ísis Martins","Feminino",36,"Consultor(a) de vendas","Excelente",11428.18,24
"95","CON000095","Eduarda Macedo","Feminino",25,"Consultor(a) de vendas","Bom",9298.8,19
"96","CON000096","Luigi Sousa","Masculino",44,"Consultor(a) de vendas","Regular",9371.52,28
"97","CON000097","Nicolas Barros","Masculino",36,"Consultor(a) de vendas","Regular",11466.23,27
"98","CON000098","Rodrigo Brito","Masculino",34,"Consultor(a) de vendas","Bom",9438.45,12
"99","CON000099","Nathan Ribeiro","Masculino",41,"Consultor(a) de vendas","Regular",10036.29,20
"100","CON000100","Ravy Souza","Masculino",30,"Consultor(a) de vendas","Bom",10075.11,20
"101","CON000101","Brayan Azevedo","Masculino",34,"Consultor(a) de vendas","Bom",11680.17,21
"102","CON000102","Raquel Vasconcelos","Feminino",31,"Consultor(a) de vendas","Insuficiente",8840.65,15
"103","CON000103","Pedro Henrique Carvalho","Masculino",32,"Consultor(a) de vendas","Regular",11081.11,21
"104","CON000104","Emanuel Nascimento","Masculino",44,"Consultor(a) de vendas","Regular",11418.76,23
"105","CON000105","Maria Pacheco","Feminino",49,"Consultor(a) de vendas","Bom",8776.54,19
"106","CON000106","Murilo Rios","Masculino",29,"Consultor(a) de vendas","Bom",9474.32,29
"107","CON000107","João Gabriel Duarte","Masculino",25,"Consultor(a) de vendas","Bom",10465.96,20
"108","CON000108","Olivia Castro","Feminino",25,"Consultor(a) de vendas","Bom",10578.73,19
"109","CON000109","Luiz Otávio Duarte","Masculino",35,"Consultor(a) de vendas","Bom",9458.37,10
"110","CON000110","Vitor Moura","Masculino",30,"Consultor(a) de vendas","Regular",10718.04,22
"111","CON000111","Caio Araújo","Masculino",39,"Consultor(a) de vendas","Excelente",10490.76,15
"112","CON000112","Miguel da Paz","Masculino",38,"Consultor(a) de vendas","Bom",10513.41,26
"113","CON000113","Maria Helena Pires","Feminino",25,"Consultor(a) de vendas","Regular",8286.93,20
"114","CON000114","Ana Julia Montenegro","Feminino",25,"Consultor(a) de vendas","Insuficiente",9176.91,19
"115","CON000115","Maria Cecília da Cunha","Feminino",33,"Consultor(a) de vendas","Insuficiente",8658.41,11
"116","CON000116","Manuela Cirino","Feminino",31,"Consultor(a) de vendas","Regular",10303.23,20
"117","CON000117","Ágatha Aparecida","Feminino",26,"Consultor(a) de vendas","Bom",9936.23,22
"118","CON000118","João Pedro da Cruz","Masculino",25,"Consultor(a) de vendas","Bom",9349.21,11
"119","CON000119","Carolina Sales","Feminino",35,"Consultor(a) de vendas","Regular",10422.44,27
"120","CON000120","Fernando Duarte","Masculino",50,"Consultor(a) de vendas","Regular",10646.53,22
"121","CON000121","Maria Flor Andrade","Feminino",33,"Consultor(a) de vendas","Regular",10940.47,26
"122","CON000122","Melissa Pastor","Feminino",25,"Consultor(a) de vendas","Bom",10046.53,18
"123","CON000123","Antony Ferreira","Masculino",37,"Consultor(a) de vendas","Bom",10001.79,18
"124","CON000124","Vinicius Pires","Masculino",25,"Consultor(a) de vendas","Regular",8940.94,21
"125","CON000125","Vitor Gabriel da Cruz","Masculino",48,"Consultor(a) de vendas","Bom",11285.57,20
"126","CON000126","Luiz Fernando Barbosa","Masculino",38,"Consultor(a) de vendas","Regular",8916.3,23
"127","CON000127","Stephany Sampaio","Feminino",25,"Consultor(a) de vendas","Insuficiente",10358.45,21
"128","CON000128","Maria Fernanda Freitas","Feminino",27,"Consultor(a) de vendas","Regular",10085.35,17
"129","CON000129","Luiz Henrique Azevedo","Masculino",42,"Consultor(a) de vendas","Bom",9679.47,18
"130","CON000130","Luiz Gustavo Porto","Masculino",34,"Consultor(a) de vendas","Bom",11779.29,12
"131","CON000131","Ravy Sá","Masculino",34,"Consultor(a) de vendas","Excelente",12166.31,19
"132","CON000132","José Pedro Fonseca","Masculino",25,"Consultor(a) de vendas","Regular",9905.07,19
"133","CON000133","Danilo Sá","Masculino",43,"Consultor(a) de vendas","Regular",9738.17,22
"134","CON000134","Davi Lucas Jesus","Masculino",31,"Consultor(a) de vendas","Bom",11289.03,15
"135","CON000135","Lunna Costela","Feminino",25,"Consultor(a) de vendas","Bom",10598.31,31
"136","CON000136","Yuri Guerra","Masculino",33,"Consultor(a) de vendas","Excelente",11821.23,28
"137","CON000137","Bernardo Rocha","Masculino",47,"Consultor(a) de vendas","Insuficiente",9115.66,29
"138","CON000138","Aurora Freitas","Feminino",26,"Consultor(a) de vendas","Regular",10424.9,15
"139","CON000139","Marcos Vinicius Borges","Masculino",54,"Consultor(a) de vendas","Bom",10628.08,14
"140","CON000140","Amanda Mendonça","Feminino",34,"Consultor(a) de vendas","Insuficiente",9138.67,23
"141","CON000141","Elisa Almeida","Feminino",33,"Consultor(a) de vendas","Regular",10362.73,17
"142","CON000142","Joaquim Fonseca","Masculino",36,"Consultor(a) de vendas","Regular",11434.54,18
"143","CON000143","Renan Guerra","Masculino",36,"Consultor(a) de vendas","Regular",10399.79,20
"144","CON000144","Ian Araújo","Masculino",34,"Consultor(a) de vendas","Regular",10747.81,21
"145","CON000145","Asafe Sales","Masculino",34,"Consultor(a) de vendas","Bom",11647.28,21
"146","CON000146","Alexandre da Paz","Masculino",42,"Consultor(a) de vendas","Regular",9584.48,21
"147","CON000147","Mirella Oliveira","Feminino",25,"Consultor(a) de vendas","Regular",9384.69,29
"148","CON000148","Antônio Pastor","Masculino",26,"Consultor(a) de vendas","Excelente",12714.83,19
"149","CON000149","Erick Sales","Masculino",26,"Consultor(a) de vendas","Bom",9112.89,9
"150","CON000150","Gael Henrique Carvalho","Masculino",57,"Consultor(a) de vendas","Bom",9707.37,30
"151","CON000151","Maria Isis Rocha","Feminino",35,"Consultor(a) de vendas","Bom",9125.19,24
"152","CON000152","Gael Barbosa","Masculino",40,"Consultor(a) de vendas","Bom",9916.51,21
"153","CON000153","Gael Freitas","Masculino",26,"Consultor(a) de vendas","Regular",10645.48,16
"154","CON000154","Enrico Leão","Masculino",43,"Consultor(a) de vendas","Bom",11741.1,11
"155","CON000155","Eloá Mendonça","Feminino",29,"Consultor(a) de vendas","Bom",10307.58,22
"156","CON000156","Diogo Silveira","Masculino",39,"Consultor(a) de vendas","Insuficiente",10911.24,18
"157","CON000157","Mariana Fogaça","Feminino",25,"Consultor(a) de vendas","Regular",10113.35,21
"158","CON000158","Ana Vitória Silveira","Feminino",32,"Consultor(a) de vendas","Bom",9248.77,13
"159","CON000159","João Pedro Sá","Masculino",33,"Consultor(a) de vendas","Bom",11297.85,26
"160","CON000160","Sofia Vargas","Feminino",25,"Consultor(a) de vendas","Regular",9998.25,11
"161","CON000161","Antônio Alves","Masculino",44,"Consultor(a) de vendas","Regular",11277.51,24
"162","CON000162","Mariana Nogueira","Feminino",25,"Consultor(a) de vendas","Bom",9109.04,20
"163","CON000163","Emilly Dias","Feminino",36,"Consultor(a) de vendas","Insuficiente",9649.63,21
"164","CON000164","Matheus da Luz","Masculino",44,"Consultor(a) de vendas","Regular",9525.32,15
"165","CON000165","Bernardo Porto","Masculino",28,"Consultor(a) de vendas","Regular",9283.77,19
"166","CON000166","Maria Fernanda Souza","Feminino",25,"Consultor(a) de vendas","Bom",9229.01,24
"167","CON000167","Anthony Correia","Masculino",35,"Consultor(a) de vendas","Bom",10929.57,17
"168","CON000168","Luan Ferreira","Masculino",40,"Consultor(a) de vendas","Bom",10874.37,26
"169","CON000169","Luiz Gustavo Freitas","Masculino",35,"Consultor(a) de vendas","Excelente",11646.45,13
"170","CON000170","Ísis Siqueira","Feminino",34,"Consultor(a) de vendas","Excelente",10754.19,28
"171","CON000171","Mariana Araújo","Feminino",48,"Consultor(a) de vendas","Bom",11098.01,15
"172","CON000172","Lucca Pastor","Masculino",32,"Consultor(a) de vendas","Regular",10638.47,25
"173","CON000173","Gustavo Gonçalves","Masculino",25,"Consultor(a) de vendas","Excelente",9997.2,22
"174","CON000174","Henry Silveira","Masculino",45,"Consultor(a) de vendas","Excelente",10132.97,18
"175","CON000175","Alana Cirino","Feminino",47,"Consultor(a) de vendas","Insuficiente",9552.79,16
"176","CON000176","Liam da Conceição","Masculino",41,"Consultor(a) de vendas","Excelente",12205.56,20
"177","CON000177","Maria Helena Correia","Feminino",25,"Consultor(a) de vendas","Regular",9585.12,13
"178","CON000178","Renan Sampaio","Masculino",36,"Consultor(a) de vendas","Regular",11481.41,15
"179","CON000179","Emanuelly Sales","Feminino",25,"Consultor(a) de vendas","Insuficiente",8188.52,16
"180","CON000180","Gael Henrique Porto","Masculino",43,"Consultor(a) de vendas","Regular",9716.89,17
"181","CON000181","Ravi Albuquerque","Masculino",25,"Consultor(a) de vendas","Bom",12072.46,21
"182","CON000182","Vinicius Barros","Masculino",34,"Consultor(a) de vendas","Insuficiente",9649.21,23
"183","CON000183","Emilly Rios","Feminino",25,"Consultor(a) de vendas","Bom",9644.78,22
"184","CON000184","Fernanda Pacheco","Feminino",31,"Consultor(a) de vendas","Regular",9789.93,17
"185","CON000185","Thales Correia","Masculino",33,"Consultor(a) de vendas","Bom",10534.89,14
"186","CON000186","Isabella Pimenta","Feminino",32,"Consultor(a) de vendas","Regular",10720.13,16
"187","CON000187","Alice Dias","Feminino",30,"Consultor(a) de vendas","Regular",9389.17,18
"188","CON000188","Rafaela Mendonça","Feminino",25,"Consultor(a) de vendas","Regular",10670.41,13
"189","CON000189","Davi Luiz Vargas","Masculino",43,"Consultor(a) de vendas","Regular",10738.28,17
"190","CON000190","Benicio Machado","Masculino",37,"Consultor(a) de vendas","Bom",11354.96,27
"191","CON000191","Liam Abreu","Masculino",27,"Consultor(a) de vendas","Bom",10759.7,27
"192","CON000192","Luna Costela","Feminino",52,"Consultor(a) de vendas","Regular",8749.67,12
"193","CON000193","Mariane Carvalho","Feminino",35,"Consultor(a) de vendas","Bom",10203.66,23
"194","CON000194","Nicole Pires","Feminino",28,"Consultor(a) de vendas","Bom",9474.74,21
"195","CON000195","Ravi Moreira","Masculino",51,"Consultor(a) de vendas","Regular",9382.59,18
"196","CON000196","Vicente Sales","Masculino",55,"Consultor(a) de vendas","Insuficiente",8654.31,15
"197","CON000197","Elisa Garcia","Feminino",29,"Consultor(a) de vendas","Excelente",11450.5,19
"198","CON000198","Maysa Mendonça","Feminino",33,"Consultor(a) de vendas","Regular",8568.5,20
"199","CON000199","Sarah Rocha","Feminino",25,"Consultor(a) de vendas","Excelente",11087.67,21
"200","CON000200","Ana Sophia Brito","Feminino",29,"Consultor(a) de vendas","Bom",9612.18,24
"201","CON000201","Daniela Nunes","Feminino",28,"Consultor(a) de vendas","Bom",10714.53,23
"202","CON000202","Theodoro Monteiro","Masculino",39,"Consultor(a) de vendas","Regular",10547.27,13
"203","CON000203","Joaquim Farias","Masculino",40,"Consultor(a) de vendas","Regular",11515.33,21
"204","CON000204","Ana Beatriz Araújo","Feminino",36,"Consultor(a) de vendas","Bom",8626.74,19
"205","CON000205","Marcela Costela","Feminino",32,"Consultor(a) de vendas","Regular",8891.9,14
"206","CON000206","Pedro Lucas Barbosa","Masculino",25,"Consultor(a) de vendas","Bom",11053.78,28
"207","CON000207","Cauã Marques","Masculino",28,"Consultor(a) de vendas","Bom",10980.42,18
"208","CON000208","Isadora da Cruz","Feminino",25,"Consultor(a) de vendas","Regular",8973.51,8
"209","CON000209","Apollo Moreira","Masculino",34,"Consultor(a) de vendas","Bom",9505.25,16
"210","CON000210","Augusto da Mota","Masculino",48,"Consultor(a) de vendas","Bom",11945.43,30
"211","CON000211","Yuri Abreu","Masculino",25,"Consultor(a) de vendas","Regular",10951.98,14
"212","CON000212","Emilly Sales","Feminino",26,"Consultor(a) de vendas","Regular",9928.51,16
"213","CON000213","Bárbara Pinto","Feminino",40,"Consultor(a) de vendas","Regular",9625.17,23
"214","CON000214","Otto da Rosa","Masculino",34,"Consultor(a) de vendas","Bom",12081.14,10
"215","CON000215","Ísis da Paz","Feminino",35,"Consultor(a) de vendas","Bom",10426.76,29
"216","CON000216","Cauã Barros","Masculino",36,"Consultor(a) de vendas","Regular",10638.45,32
"217","CON000217","Matteo Melo","Masculino",40,"Consultor(a) de vendas","Bom",10588.92,17
"218","CON000218","Maysa Lima","Feminino",28,"Consultor(a) de vendas","Regular",9066.64,22
"219","CON000219","Marcela Rocha","Feminino",37,"Consultor(a) de vendas","Regular",9961.88,14
"220","CON000220","Lavínia Ribeiro","Feminino",25,"Consultor(a) de vendas","Regular",8404.97,21
"221","CON000221","Antonella Moura","Feminino",26,"Consultor(a) de vendas","Bom",10710.75,27
"222","CON000222","Letícia Ramos","Feminino",33,"Consultor(a) de vendas","Insuficiente",8031.79,27
"223","CON000223","Luiz Felipe da Luz","Masculino",42,"Consultor(a) de vendas","Regular",10624.54,23
"224","CON000224","João Miguel Martins","Masculino",52,"Consultor(a) de vendas","Regular",11411.5,29
"225","CON000225","Liam Aragão","Masculino",33,"Consultor(a) de vendas","Regular",11725.73,18
"226","CON000226","Arthur Gabriel Lopes","Masculino",52,"Consultor(a) de vendas","Excelente",12537.63,22
"227","CON000227","Bárbara Vasconcelos","Feminino",25,"Consultor(a) de vendas","Bom",10445.52,20
"228","CON000228","Davi Miguel da Mota","Masculino",50,"Consultor(a) de vendas","Regular",9110.94,11
"229","CON000229","Antonella Vieira","Feminino",38,"Consultor(a) de vendas","Bom",8466.37,19
"230","CON000230","Ana Laura Porto","Feminino",25,"Consultor(a) de vendas","Bom",8376.57,18
"231","CON000231","Nicole Sampaio","Feminino",33,"Consultor(a) de vendas","Bom",10612.35,28
"232","CON000232","Apollo Guerra","Masculino",36,"Consultor(a) de vendas","Bom",11804.56,17
"233","CON000233","Olívia Jesus","Feminino",36,"Consultor(a) de vendas","Regular",9448.8,19
"234","CON000234","Samuel Cardoso","Masculino",35,"Consultor(a) de vendas","Insuficiente",11018.15,24
"235","CON000235","Francisco Melo","Masculino",34,"Consultor(a) de vendas","Bom",9660.41,25
"236","CON000236","Bárbara das Neves","Feminino",44,"Consultor(a) de vendas","Regular",9455.41,18
"237","CON000237","Josué Alves","Masculino",36,"Consultor(a) de vendas","Regular",11193.56,18
"238","CON000238","Lorenzo Pastor","Masculino",45,"Consultor(a) de vendas","Regular",10390.43,29
"239","CON000239","Rebeca Gomes","Feminino",28,"Consultor(a) de vendas","Excelente",11988.4,35
"240","CON000240","Bryan Cassiano","Masculino",54,"Consultor(a) de vendas","Regular",10936.75,25
"241","CON000241","Stella Melo","Feminino",25,"Consultor(a) de vendas","Insuficiente",10327.53,22
"242","CON000242","Sara Rocha","Feminino",25,"Consultor(a) de vendas","Bom",8536.39,18
"243","CON000243","Lívia Dias","Feminino",45,"Consultor(a) de vendas","Regular",8943.05,18
"244","CON000244","Luigi Cunha","Masculino",33,"Consultor(a) de vendas","Insuficiente",9417.93,18
"245","CON000245","Theo Sousa","Masculino",53,"Consultor(a) de vendas","Regular",9684.65,14
"246","INT000246","Rebeca Vieira","Feminino",39,"Inteligência comercial","Regular",10462.84,22
"247","INT000247","Valentim Cunha","Masculino",35,"Inteligência comercial","Insuficiente",10541.88,24
"248","INT000248","Esther Jesus","Feminino",25,"Inteligência comercial","Excelente",9298.51,23
"249","INT000249","Stephany Santos","Feminino",30,"Inteligência comercial","Insuficiente",8033.21,16
"250","INT000250","Zoe Santos","Feminino",31,"Inteligência comercial","Bom",9375.5,19
"251","INT000251","Gael Henrique Jesus","Masculino",49,"Inteligência comercial","Bom",12044.16,20
"252","INT000252","Otávio Silva","Masculino",53,"Inteligência comercial","Regular",9946.5,16
"253","INT000253","Marina Peixoto","Feminino",25,"Inteligência comercial","Excelente",9330.67,18
"254","INT000254","Rael Pastor","Masculino",45,"Inteligência comercial","Bom",11778.06,28
"255","INT000255","Luiz Otávio Nascimento","Masculino",45,"Inteligência comercial","Excelente",12014.1,9
"256","INT000256","Fernanda Santos","Feminino",41,"Inteligência comercial","Excelente",11617.18,20
"257","INT000257","Kamilly da Costa","Feminino",35,"Inteligência comercial","Bom",8946.12,23
"258","INT000258","Clarice Campos","Feminino",25,"Inteligência comercial","Insuficiente",10233.66,17
"259","INT000259","Cecília Gonçalves","Feminino",28,"Inteligência comercial","Excelente",10934.57,10
"260","INT000260","Davi Correia","Masculino",25,"Inteligência comercial","Regular",10509.82,26
"261","INT000261","Alice Almeida","Feminino",28,"Inteligência comercial","Regular",8700.4,17
"262","INT000262","Bárbara da Rosa","Feminino",40,"Inteligência comercial","Excelente",8897.72,16
"263","INT000263","Rael da Mota","Masculino",40,"Inteligência comercial","Insuficiente",8547.57,23
"264","INT000264","Luiz Miguel Moura","Masculino",48,"Inteligência comercial","Insuficiente",8613.64,30
"265","INT000265","Emanuelly da Cruz","Feminino",33,"Inteligência comercial","Bom",9125.99,24
"266","INT000266","Maria Helena Lima","Feminino",25,"Inteligência comercial","Insuficiente",8521.34,20
"267","INT000267","Ana Laura Brito","Feminino",25,"Inteligência comercial","Regular",8466.17,15
"268","INT000268","Eloah Cavalcante","Feminino",31,"Inteligência comercial","Bom",10251.07,26
"269","INT000269","João Pedro Carvalho","Masculino",35,"Inteligência comercial","Regular",10954.2,17
"270","INT000270","Lucas Pacheco","Masculino",27,"Inteligência comercial","Regular",11224.44,19
"271","INT000271","Maria Liz Correia","Feminino",25,"Inteligência comercial","Regular",10769.78,17
"272","INT000272","Maria Laura Brito","Feminino",25,"Inteligência comercial","Regular",9248.76,15
"273","INT000273","Luara Costa","Feminino",28,"Inteligência comercial","Bom",10761.47,23
"274","INT000274","Ana Júlia Fogaça","Feminino",37,"Inteligência comercial","Insuficiente",8940.34,19
"275","INT000275","Davi Luiz Camargo","Masculino",39,"Inteligência comercial","Insuficiente",9714.67,21
"276","INT000276","Isaque da Cunha","Masculino",53,"Inteligência comercial","Regular",11378.71,13
"277","INT000277","Ana Cecília Camargo","Feminino",25,"Inteligência comercial","Excelente",10724.81,23
"278","INT000278","Pietra Pires","Feminino",39,"Inteligência comercial","Regular",8845.53,19
"279","INT000279","Joana Mendes","Feminino",30,"Inteligência comercial","Regular",8577.67,25
"280","INT000280","Luísa Cavalcanti","Feminino",37,"Inteligência comercial","Insuficiente",9411.94,15
"281","INT000281","Sarah Barbosa","Feminino",26,"Inteligência comercial","Insuficiente",9518.53,17
"282","INT000282","André Ferreira","Masculino",48,"Inteligência comercial","Insuficiente",9084.42,11
"283","INT000283","Vinícius Barros","Masculino",40,"Inteligência comercial","Bom",11861.95,16
"284","INT000284","Arthur Miguel Pimenta","Masculino",30,"Inteligência comercial","Insuficiente",9925.88,21
"285","INT000285","Ana Cecília Barbosa","Feminino",30,"Inteligência comercial","Excelente",10176.9,21
"286","INT000286","Vitor Hugo Araújo","Masculino",35,"Inteligência comercial","Bom",10225.15,28
"287","INT000287","João Miguel Pacheco","Masculino",42,"Inteligência comercial","Excelente",12516.66,16
"288","INT000288","Bruno Pacheco","Masculino",25,"Inteligência comercial","Insuficiente",10907.26,22
"289","INT000289","Augusto Caldeira","Masculino",37,"Inteligência comercial","Insuficiente",9129.06,17
"290","INT000290","Lorena Pinto","Feminino",34,"Inteligência comercial","Bom",8427.85,18
